epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,119.468,0.34725,0.7,1,0.46191,0.07327,0.00027,0.00027
2,236.939,0.25496,0.8,1,0.26539,0.0455495,0.000549463,0.000549463
3,353.498,0.22526,0.9,1,0.50157,0.0178268,0.00082676,0.00082676
4,474.473,0.19045,0.8,1,0.42482,0.000991232,0.000991232,0.000991232
5,592.989,0.15408,0.8,1,0.69722,0.000984449,0.000984449,0.000984449
6,711.845,0.17498,0.8,1,0.43222,0.000975773,0.000975773,0.000975773
7,830.052,0.16218,1,1,0.14508,0.000965239,0.000965239,0.000965239
8,949.09,0.19417,0.9,1,0.21987,0.000952889,0.000952889,0.000952889
9,1066.93,0.15689,1,1,0.0371,0.000938772,0.000938772,0.000938772
10,1185.44,0.15559,1,1,0.11214,0.000922942,0.000922942,0.000922942
11,1303.85,0.14216,0.9,1,0.30964,0.000905463,0.000905463,0.000905463
12,1421.89,0.08724,0.9,1,0.27752,0.000886404,0.000886404,0.000886404
13,1540.29,0.08496,0.9,1,0.19198,0.000865839,0.000865839,0.000865839
14,1658,0.10385,0.9,1,0.15908,0.000843851,0.000843851,0.000843851
15,1775.8,0.12983,0.9,1,0.17815,0.000820525,0.000820525,0.000820525
16,1895.67,0.10206,1,1,0.09264,0.000795954,0.000795954,0.000795954
17,2013.53,0.08627,0.9,1,0.55946,0.000770234,0.000770234,0.000770234
