epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,120.818,0.35977,0.7,1,0.42143,0.07327,0.00027,0.00027
2,238.836,0.19928,0.9,1,0.11754,0.0455318,0.00053185,0.00053185
3,350.695,0.20777,0.9,1,0.19091,0.0177752,0.00077522,0.00077522
4,462.914,0.15548,0.9,1,0.36066,0.000901,0.000901,0.000901
5,576.507,0.1279,0.9,1,0.2455,0.000868,0.000868,0.000868
6,690.687,0.1727,0.9,1,0.11761,0.000835,0.000835,0.000835
7,806.455,0.14433,1,1,0.02817,0.000802,0.000802,0.000802
8,922.849,0.12233,0.9,1,0.38745,0.000769,0.000769,0.000769
9,1039.94,0.10958,0.9,1,0.29747,0.000736,0.000736,0.000736
10,1157.24,0.08216,0.9,1,0.24374,0.000703,0.000703,0.000703
11,1274.3,0.07409,0.9,1,0.09774,0.00067,0.00067,0.00067
12,1396.29,0.05543,0.9,1,0.28124,0.000637,0.000637,0.000637
